,Roll Num,Marks
0,102003542,4
1,102003640,5
2,102003725,5
3,102003307,4
4,102003458,5
5,102003643,5
6,102017134,4
7,102003207,4
8,102003315,5
9,102003362,4
10,102003135,4
11,102003650,5
12,102003675,5
13,102003671,4
14,102003374,3
15,102017034,5
16,102003306,5
17,102003141,5
18,102003592,5
19,102003478,5
20,102017030,2
21,102016114,4
22,102003152,3
23,102017101,5
24,102003098,5
25,102003633,3
26,102003132,5
27,102066004,5
28,102003466,5
29,102017188,5
30,102003413,4
31,102016094,4
32,102017190,5
33,102017121,4
34,102003118,5
35,102003681,5
36,102183051,4
37,102017016,4
38,102003649,5
39,102003448,4
40,102003421,2
41,102017152,5
42,102053044,3
43,102003169,5
44,102016049,5
45,102017081,5
46,102053017,4
47,102003299,4
48,102017096,5
49,102003161,5
50,102003109,5
51,102003313,5
52,102003138,5
53,102017078,5
54,102003445,5
55,102003553,5
56,102017186,5
57,102003527,5
58,102003407,5
59,102017100,5
60,102003674,4
61,102183047,5
62,102003160,5
63,102003049,5
64,102003701,4
65,102017159,4
66,102067010,5
67,102003112,5
68,102003522,5
69,102017067,5
70,102003069,4
71,102053019,2
72,102016060,5
73,102003384,3
74,102017169,5
75,102017043,4
76,102017133,4
77,102183052,5
78,102003732,5
79,102003562,4
80,102003235,5
81,102003290,4
82,102003746,5
83,102003694,5
84,102003586,5
85,102003710,5
86,102003439,5
87,102016116,5
88,102003127,5
89,102017084,5
90,102067004,5
91,102016011,5
92,102017005,4
93,102016099,4
94,102053036,5
95,102003441,3
96,102003106,5
97,102003129,5
98,102003346,4
99,102003647,5
100,102003274,4
101,102003090,2
102,102183044,5
103,102003711,5
104,102003624,5
105,102003656,3
106,102017029,5
107,102016082,3
108,102003238,5
109,102003002,5
110,102003614,5
111,102003459,5
112,102003099,5
113,102003760,3
114,102017036,5
115,102003312,5
116,102017143,5
117,102016102,5
118,102067009,5
119,102003505,5
120,102003206,5
121,102003409,4
122,102003738,4
123,102017040,5
124,102003440,5
125,102003688,5
126,102017122,5
127,102017064,5
128,102067007,5
129,102003041,2
130,102017147,5
131,102003356,4
132,102003166,5
133,102017074,4
134,102003707,5
135,102003228,5
136,102003366,4
137,102003165,3
138,102003423,4
139,102053018,2
140,102053032,4
141,102003631,5
142,102003475,5
143,102003663,3
144,102003716,5
145,102017025,5
146,102003333,5
147,102017191,5
148,102003364,4
149,102003101,4
150,102017132,4
151,102017059,5
152,102003405,3
153,102003702,4
154,102003257,5
155,102003472,5
156,102003113,5
157,102053028,5
158,102003628,5
159,102183056,4
160,102003451,5
161,102003578,5
162,102053013,1
163,102003334,5
164,102053012,3
165,102017024,5
166,102003463,4
167,102017045,5
168,102017189,5
169,102003482,5
170,102003178,5
171,102003355,5
172,102017054,5
173,102003393,4
174,102003658,4
175,102003116,5
176,102017195,2
177,102003162,4
178,102003697,5
179,102003256,4
180,102003001,3
181,102016081,5
182,102003137,5
183,102017148,5
184,102003487,5
185,102017139,3
186,102003029,5
187,102003432,3
188,102003177,5
189,102003646,5
190,102003619,4
191,102003171,5
192,102016087,5
193,102016062,5
194,102053022,4
195,102053024,5
196,102003499,4
197,102003367,3
198,102003318,3
199,102017180,5
200,102017104,2
201,102003447,4
202,102003205,5
203,102003425,5
204,102017075,2
205,102017050,5
206,102003083,5
207,102003220,4
208,102183034,5
209,102003018,5
210,102003323,4
211,102003706,5
212,102017010,5
213,102003759,5
214,102003184,5
215,102003661,5
216,102016012,4
217,102016089,5
218,102003039,5
219,102016096,5
220,102003457,5
221,102016083,5
222,102003140,5
223,102053042,5
224,102003017,5
225,102003644,5
226,102016068,5
227,102003042,3
228,102017008,4
229,102003304,5
230,102053007,4
231,102003692,4
232,102017126,5
233,102017069,3
234,102003125,5
235,102003767,4
236,102017171,5
237,102017167,2
238,102016044,5
239,102003673,4
240,102003431,4
241,102003549,5
242,102016075,5
243,102017083,5
244,102003497,5
245,102003494,5
246,102003742,5
247,102017113,5
248,102003105,4
249,102003037,5
250,102003484,4
251,102003655,5
252,102003368,4
253,102003056,3
254,102003493,5
255,102003243,5
256,102003745,4
257,102003157,5
258,102183038,5
259,102053030,4
260,102003424,5
261,102003173,4
262,102003464,5
263,102017112,5
264,102053051,5
265,102003689,5
266,102003403,5
267,102003648,4
268,102003623,5
269,102003622,4
270,102067006,5
271,102003687,5
272,102003512,4
273,102017017,4
274,102003030,5
275,102003071,5
276,102197018,4
277,102017145,5
278,102183040,4
279,102003618,5
280,102053009,3
281,102003665,5
282,102003164,5
283,102017070,5
284,102183035,5
285,102017142,5
286,102003124,5
287,102017184,5
288,102017187,5
289,102017090,5
290,102016109,5
291,102183050,5
292,102053043,4
293,102017137,3
294,102003452,5
295,102016034,5
296,102003427,4
297,102003604,5
298,102003156,5
299,102016105,4
300,102003680,5
301,102197019,5
302,102017089,2
303,102017051,5
304,102003131,5
305,102016090,5
306,102003703,5
307,102003685,3
308,102183048,5
309,102196004,5
310,102003582,1
311,102003541,5
312,102003634,5
313,102003483,4
314,102003560,5
315,102197021,5
316,102003704,5
317,102003070,4
318,102003736,5
319,102003467,5
320,102003373,5
321,102003551,3
322,102003404,5
323,102003718,5
324,102003158,5
325,102017079,5
326,102196010,4
327,102053031,3
328,102017118,4
329,102003772,4
330,102003322,5
331,102017085,5
332,102067011,5
333,102053010,5
334,102197016,5
335,102003242,4
336,102003532,5
337,102003253,3
338,102003485,4
339,102003289,0
340,102017120,5
341,102003402,4
342,102003653,5
343,102003293,3
344,102003580,5
345,102003410,5
346,102003288,3
347,102003712,5
348,102003128,5
349,102016009,5
350,102003251,3
351,102003596,4
352,102017129,5
353,102003468,2
354,102003146,4
355,102017138,5
356,102003559,5
357,102003395,5
358,102017065,4
359,102003380,5
360,102003672,5
361,102003117,4
362,102003050,4
363,102053008,5
364,102003766,5
365,102003139,4
366,102003082,5
367,102003295,5
368,102003053,5
369,102017047,4
370,102017110,4
371,102053005,4
372,102017119,5
373,102017151,5
374,102003465,5
375,102016091,5
376,102017178,4
377,102003768,4
378,102003565,3
379,102053011,4
380,102053035,4
381,102017163,2
382,102017073,1
383,102003396,1
384,102003417,4
385,102003085,5
386,102016066,5
387,102016100,4
388,102003508,5
389,102003406,2
390,102017182,5
391,102003755,5
392,102017172,5
393,102017060,4
394,102016110,4
395,102017150,4
396,102003690,1
397,102003149,2
398,102003089,1
399,102180347,1
